Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_cm,Filtered_Distance_cm,Signal_Power_dBm
1,401046,10,104.63,103.24,0.00
1,401052,20,108.85,108.48,0.00
1,401058,30,85.39,95.32,0.00
1,401064,40,117.29,122.80,0.00
1,401096,10,106.03,104.64,0.00
1,401102,20,111.66,110.07,0.00
1,401108,30,95.71,95.52,0.00
1,401113,40,100.40,111.60,0.00
1,401146,10,102.28,103.46,0.00
1,401152,20,106.03,108.05,0.00
1,401158,30,120.58,108.05,0.00
1,401164,40,107.44,109.52,0.00
1,401196,10,97.59,100.52,0.00
1,401202,20,105.56,106.81,0.00
1,401208,30,114.48,111.26,0.00
1,401214,40,103.22,106.37,0.00
1,401246,10,104.16,102.34,0.00
1,401252,20,100.87,103.84,0.00
1,401258,30,111.66,111.46,0.00
1,401264,40,155.77,131.07,0.00
1,401296,10,104.63,103.48,0.00
1,401302,20,104.63,104.23,0.00
1,401308,30,114.01,112.74,0.00
1,401314,40,102.75,116.91,0.00
1,401346,10,104.16,103.82,0.00
1,401352,20,106.97,105.60,0.00
1,401358,30,83.04,97.89,0.00
1,401364,40,95.71,106.31,0.00
1,401396,10,98.53,101.17,0.00
1,401402,20,107.91,106.76,0.00
1,401408,30,120.58,109.23,0.00
1,401414,40,94.77,100.54,0.00
1,401446,10,101.81,101.49,0.00
1,401452,20,110.73,108.74,0.00
1,401458,30,128.55,118.89,0.00
1,401464,40,94.30,97.42,0.00
1,401496,10,104.16,102.82,0.00
1,401502,20,111.66,110.20,0.00
1,401508,30,128.09,123.49,0.00
1,401514,40,87.27,92.35,0.00
1,402046,10,103.69,103.26,0.00
1,402052,20,110.73,110.46,0.00
1,402058,30,129.02,126.26,0.00
1,402064,40,121.99,107.17,0.00
1,402096,10,103.22,103.24,0.00
1,402102,20,106.50,108.48,0.00
1,402108,30,106.50,116.38,0.00
1,402114,40,142.16,124.66,0.00
1,402146,10,102.75,102.99,0.00
1,402152,20,106.03,107.26,0.00
1,402157,30,106.03,111.21,0.00
1,402163,40,102.75,113.71,0.00
1,402196,10,108.38,105.69,0.00
1,402202,20,109.79,108.52,0.00
1,402207,30,107.44,109.32,0.00
1,402213,40,137.47,125.59,0.00
1,402246,10,110.73,108.21,0.00
1,402252,20,114.48,111.50,0.00
1,402258,30,108.85,109.09,0.00
1,402264,40,156.70,141.15,0.00
1,402296,10,108.38,108.29,0.00
1,402302,20,113.07,112.29,0.00
1,402308,30,106.03,107.56,0.00
1,402314,40,111.19,126.17,0.00
1,402346,10,106.03,107.16,0.00
1,402352,20,111.19,111.74,0.00
1,402358,30,107.91,107.74,0.00
1,402364,40,129.49,127.83,0.00
1,402396,10,103.69,105.43,0.00
1,402402,20,108.38,110.06,0.00
1,402408,30,111.66,109.70,0.00
1,402414,40,161.40,144.61,0.00
1,402446,10,102.75,104.09,0.00
1,402452,20,120.11,115.08,0.00
1,402457,30,120.58,115.14,0.00
1,402463,40,161.40,153.01,0.00
1,402496,10,100.87,102.48,0.00
1,402502,20,116.36,115.72,0.00
1,402508,30,131.37,123.25,0.00
1,402514,40,127.15,140.08,0.00
1,403046,10,99.47,100.97,0.00
1,403052,20,114.48,115.10,0.00
1,403058,30,131.37,127.31,0.00
1,403064,40,112.60,126.34,0.00
1,403096,10,105.10,103.03,0.00
1,403102,20,114.01,114.55,0.00
1,403108,30,111.66,119.49,0.00
1,403114,40,129.49,127.92,0.00
1,403146,10,106.03,104.53,0.00
1,403152,20,114.95,114.75,0.00
1,403158,30,119.17,119.33,0.00
